🀄️ mahjong️
🧚🏽‍♂️ man_fairy_tone3
🧚🏽 fairy_tone3
🧚🏾‍♀️ woman_fairy_tone4
🧚🏾‍♂️ man_fairy_tone4
🧚🏾 fairy_tone4
🧚🏿‍♀️ woman_fairy_tone5
🧚🏿‍♂️ man_fairy_tone5
🧚🏿 fairy_tone5
🧚‍♀️ woman_fairy
🧚‍♂️ man_fairy
🧚 fairy
🧛🏻‍♀️ woman_vampire_tone1
🧛🏻‍♂️ man_vampire_tone1
🧛🏻 vampire_tone1
🧛🏼‍♀️ woman_vampire_tone2
🧛🏼‍♂️ man_vampire_tone2
🧛🏼 vampire_tone2
🧛🏽‍♀️ woman_vampire_tone3
🧛🏽‍♂️ man_vampire_tone3
🧛🏽 vampire_tone3
🧛🏾‍♀️ woman_vampire_tone4
🧛🏾‍♂️ man_vampire_tone4
🧛🏾 vampire_tone4
🧛🏿‍♀️ woman_vampire_tone5
🧛🏿‍♂️ man_vampire_tone5
🧛🏿 vampire_tone5
🧛‍♀️ woman_vampire
🧛‍♂️ man_vampire
🧛 vampire
🧜🏻‍♀️ mermaid_tone1
🧜🏻‍♂️ merman_tone1
🧜🏻 merperson_tone1
🧜🏼‍♀️ mermaid_tone2
🧜🏼‍♂️ merman_tone2
🧜🏼 merperson_tone2
🧜🏽‍♀️ mermaid_tone3
🧜🏽‍♂️ merman_tone3
🧜🏽 merperson_tone3
🧜🏾‍♀️ mermaid_tone4
🧜🏾‍♂️ merman_tone4
🧜🏾 merperson_tone4
🧜🏿‍♀️ mermaid_tone5
🧜🏿‍♂️ merman_tone5
🧜🏿 merperson_tone5
🧜‍♀️ mermaid
🧜‍♂️ merman
🧜 merperson
🧝🏻‍♀️ woman_elf_tone1
🧝🏻‍♂️ man_elf_tone1
🧝🏻 elf_tone1
🧝🏼‍♀️ woman_elf_tone2
🧝🏼‍♂️ man_elf_tone2
🧝🏼 elf_tone2
🧝🏽‍♀️ woman_elf_tone3
🧝🏽‍♂️ man_elf_tone3
🧝🏽 elf_tone3
🧝🏾‍♀️ woman_elf_tone4
🧝🏾‍♂️ man_elf_tone4
🧝🏾 elf_tone4
🧝🏿‍♀️ woman_elf_tone5
🧝🏿‍♂️ man_elf_tone5
🧝🏿 elf_tone5
🧝‍♀️ woman_elf
🧝‍♂️ man_elf
🧝 elf
🧞‍♀️ woman_genie
🧞‍♂️ man_genie
🧞 genie
🧟‍♀️ woman_zombie
🧟‍♂️ man_zombie
🧟 zombie
🧠 brain
🧡 orange_heart
🧢 billed_cap
🧣 scarf
🧤 gloves
🧥 coat
🧦 socks
🧧 red_envelope
🧨 firecracker
🧩 jigsaw
🧪 test_tube
🧫 petri_dish
🧬 dna
🧭 compass
🧮 abacus
🧯 fire_extinguisher
🧰 toolbox
🧱 bricks
🧲 magnet
🧳 luggage
🧴 squeeze_bottle
🧵 thread
🧶 yarn
🧷 safety_pin
🧸 teddy_bear
🧹 broom
🧺 basket
🧻 roll_of_paper
🧼 soap
🧽 sponge
🧾 receipt
🧿 nazar_amulet
🩰 ballet_shoes
🩱 one_piece_swimsuit
🩲 briefs
🩳 shorts
🩸 drop_of_blood
🩹 adhesive_bandage
🩺 stethoscope
🪀 yo_yo
🪁 kite
🪂 parachute
🪐 ringed_planet
🪑 chair
🪒 razor
🪓 axe
🪔 diya_lamp
🪕 banjo
‼️ bangbang
⁉️ interrobang
™️ tm
ℹ️ information_source
↔️ left_right_arrow
↕️ arrow_up_down
↖️ arrow_upper_left
↗️ arrow_upper_right
↘️ arrow_lower_right
↙️ arrow_lower_left
↩️ leftwards_arrow_with_hook
↪️ arrow_right_hook
#⃣ #⃣
⌚️ watch️
⌛️ hourglass️
⌨️ keyboard
⏏️ eject
⏩ fast_forward
⏪ rewind
⏫ arrow_double_up
⏬ arrow_double_down
⏭️ track_next
⏮️ track_previous
⏯️ play_pause
⏰ alarm_clock
⏱️ stopwatch
⏲️ timer
⏳ hourglass_flowing_sand
⏸️ pause_button
⏹️ stop_button
⏺️ record_button
Ⓜ️ m
▪️ black_small_square
▫️ white_small_square
▶️ arrow_forward
◀️ arrow_backward
◻️ white_medium_square
◼️ black_medium_square
◽️ white_medium_small_square️
◾️ black_medium_small_square️
☀️ sunny
☁️ cloud
☂️ umbrella2
☃️ snowman2
☄️ comet
☎️ telephone
☑️ ballot_box_with_check
☔️ umbrella️
☕️ coffee️
☘️ shamrock
☝🏻 point_up_tone1
☝🏼 point_up_tone2
☝🏽 point_up_tone3
☝🏾 point_up_tone4
☝🏿 point_up_tone5
☝️ point_up
☠️ skull_crossbones
☢️ radioactive
☣️ biohazard
☦️ orthodox_cross
☪️ star_and_crescent
☮️ peace
☯️ yin_yang
☸️ wheel_of_dharma
☹️ frowning2
☺️ relaxed
♀️ female_sign
♂️ male_sign
♈️ aries️
♉️ taurus️
♊️ gemini️
♋️ cancer️
♌️ leo️
♍️ virgo️
♎️ libra️
♏️ scorpius️
♐️ sagittarius️
♑️ capricorn️
♒️ aquarius️
♓️ pisces️
♟️ chess_pawn
♠️ spades
♣️ clubs
♥️ hearts
♦️ diamonds
♨️ hotsprings
♻️ recycle
♾ ♾
♿️ wheelchair️
⚒️ hammer_pick
⚓️ anchor️
⚔️ crossed_swords
⚕️ medical_symbol
⚖️ scales
⚗️ alembic
⚙️ gear
⚛️ atom
⚜️ fleur-de-lis
⚠️ warning
⚡️ zap️
⚪️ white_circle️
⚫️ black_circle️
⚰️ coffin
⚱️ urn
⚽️ soccer️
⚾️ baseball️
⛄️ snowman️
⛅️ partly_sunny️
⛈️ thunder_cloud_rain
⛎ ophiuchus
⛏️ pick
⛑️ helmet_with_cross
⛓️ chains
⛔️ no_entry️
⛩️ shinto_shrine
⛪️ church️
⛰️ mountain
⛱️ beach_umbrella
⛲️ fountain️
⛳️ golf️
⛴️ ferry
⛵️ sailboat️
⛷🏻 ⛷tone1
⛷🏼 ⛷tone2
⛷🏽 ⛷tone3
⛷🏾 ⛷tone4
⛷🏿 ⛷tone5
⛷️ skier
⛸️ ice_skate
⛹🏻‍♀️ woman_bouncing_ball_tone1
⛹🏻‍♂️ man_bouncing_ball_tone1
⛹🏻 person_bouncing_ball_tone1
⛹🏼‍♀️ woman_bouncing_ball_tone2
⛹🏼‍♂️ man_bouncing_ball_tone2
⛹🏼 person_bouncing_ball_tone2
⛹🏽‍♀️ woman_bouncing_ball_tone3
⛹🏽‍♂️ man_bouncing_ball_tone3
⛹🏽 person_bouncing_ball_tone3
⛹🏾‍♀️ woman_bouncing_ball_tone4
⛹🏾‍♂️ man_bouncing_ball_tone4
⛹🏾 person_bouncing_ball_tone4
⛹🏿‍♀️ woman_bouncing_ball_tone5
⛹🏿‍♂️ man_bouncing_ball_tone5
⛹🏿 person_bouncing_ball_tone5
⛹️‍♀️ woman_bouncing_ball
⛹️‍♂️ man_bouncing_ball
⛹️ person_bouncing_ball️
⛺️ tent️
⛽️ fuelpump️
✂️ scissors
✅ white_check_mark
✈️ airplane
✉️ envelope
✊🏻 fist_tone1
✊🏼 fist_tone2
✊🏽 fist_tone3
✊🏾 fist_tone4
✊🏿 fist_tone5
✊ fist
✋🏻 raised_hand_tone1
✋🏼 raised_hand_tone2
✋🏽 raised_hand_tone3
✋🏾 raised_hand_tone4
✋🏿 raised_hand_tone5
✋ raised_hand
✌🏻 v_tone1
✌🏼 v_tone2
✌🏽 v_tone3
✌🏾 v_tone4
✌🏿 v_tone5
✌️ v
✍🏻 writing_hand_tone1
✍🏼 writing_hand_tone2
✍🏽 writing_hand_tone3
✍🏾 writing_hand_tone4
✍🏿 writing_hand_tone5
✍️ writing_hand
✏️ pencil2
✒️ black_nib
✔️ heavy_check_mark
✖️ heavy_multiplication_x
✝️ cross
✡️ star_of_david
✨ sparkles
✳️ eight_spoked_asterisk
✴️ eight_pointed_black_star
❄️ snowflake
❇️ sparkle
❌ x
❎ negative_squared_cross_mark
❓ question
❔ grey_question
❕ grey_exclamation
❗️ exclamation️
❣️ heart_exclamation
❤️ heart
➕ heavy_plus_sign
➖ heavy_minus_sign
➗ heavy_division_sign
➡️ arrow_right
➰ curly_loop
➿ loop
⤴️ arrow_heading_up
⤵️ arrow_heading_down
*⃣ *⃣
⬅️ arrow_left
⬆️ arrow_up
⬇️ arrow_down
⬛️ black_large_square️
⬜️ white_large_square️
⭐️ star️
⭕️ o️
0⃣ 0⃣
〰️ wavy_dash
〽️ part_alternation_mark
1⃣ 1⃣
2⃣ 2⃣
㊗️ congratulations
㊙️ secret
3⃣ 3⃣
4⃣ 4⃣
5⃣ 5⃣
6⃣ 6⃣
7⃣ 7⃣
8⃣ 8⃣
9⃣ 9⃣
©️ copyright
®️ registered
 
